sku,name,slug,price,stock,category,image_url,product_url,pass_filter,filter_score,reason
040201009-T,Llave Monomando Lavaplatos Vertical Notte Negro,llave-monomando-lavaplatos-vertical-notte-negro,29833,6,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-lavaplatos-vertical-notte-negro-victtorino-chile.webp,https://victtorino.cl/producto/llave-monomando-lavaplatos-vertical-notte-negro/,True,5,precio_ok(29833) | stock_ok(6) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040204003-T,Llave Monomando de Tina Ducha Colomba,llave-monomando-de-tina-ducha-colomba,28580,5,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Llave-Monomando-de-Tina-Ducha-Colomba-1.png,https://victtorino.cl/producto/llave-monomando-de-tina-ducha-colomba/,True,5,precio_ok(28580) | stock_ok(5) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040201008-T,Llave Monomando Lavaplatos Vertical Inoxidable,llave-monomando-lavaplatos-vertical-inoxidable,28428,12,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Llave-Monomando-Lavaplatos-Vertical-Inoxidable-1.webp,https://victtorino.cl/producto/llave-monomando-lavaplatos-vertical-inoxidable/,True,5,precio_ok(28428) | stock_ok(12) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040202007-T,Llave Monomando Lavamanos Modern Paleta Inoxidable,llave-monomando-lavamanos-modern-paleta-inoxidable,25235,9,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-lavatorio-modern-paleta-inox-victtorino-chile.webp,https://victtorino.cl/producto/llave-monomando-lavamanos-modern-paleta-inoxidable/,True,5,precio_ok(25235) | stock_ok(9) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040201007-T,Llave Monomando Lavaplatos Vertical Domenica,llave-monomando-lavaplatos-vertical-domenica,23568,21,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/monomando-lavaplatos-vertical-domenica-victtorino-chile.webp,https://victtorino.cl/producto/llave-monomando-lavaplatos-vertical-domenica/,True,5,precio_ok(23568) | stock_ok(21) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040301002-T,Llave Lavatorio Temporizada al Muro,llave-lavatorio-temporizada-al-muro,23368,11,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-lavatorio-temporizada-al-muro-victtorino-chile-01.webp,https://victtorino.cl/producto/llave-lavatorio-temporizada-al-muro/,True,5,precio_ok(23368) | stock_ok(11) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040202006-T,Monomando Lavamanos Domenica,monomando-lavamanos-domenica,21216,6,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/monomando-lavatorio-domenica-victtorino-chile.webp,https://victtorino.cl/producto/monomando-lavamanos-domenica/,True,5,precio_ok(21216) | stock_ok(6) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040203018-C,Llave Monomando Lavamanos Alto Modern Pituto Negro,llave-monomando-lavamanos-alto-modern-pituto-negro,20929,7,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-lavamanos-alto-modern-pituto-negro-victtorino-chile-4.webp,https://victtorino.cl/producto/llave-monomando-lavamanos-alto-modern-pituto-negro/,True,5,precio_ok(20929) | stock_ok(7) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
010603002-T,Receptaculo Ducha con Patas 140x70 CM,receptaculo-ducha-con-patas-140x70-cm,126003,0,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/03/Receptaculo-Ducha-con-Patas-120x70-cm-3.webp,https://victtorino.cl/producto/receptaculo-ducha-con-patas-140x70-cm/,False,4,BLOQUEADO_STOCK_0 | precio_ok(126003) | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar) | stock_bajo(0)
040201005-T,Llave Monomando Lavaplatos Vertical Profesional,llave-monomando-lavaplatos-vertical-profesional,100680,1,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-lavaplatos-vertical-profesional-chile-llave-monomando-lavaplatos-vertical-profesional-chile-03.webp,https://victtorino.cl/producto/llave-monomando-lavaplatos-vertical-profesional/,True,4,precio_ok(100680) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(1)
100501028-T,Receptor de Ducha Esquinero Curvo Antideslizante Acrílico Blanco 80x120 Izq,receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-80x120-izq,81396,2,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/04/Base-1.webp,https://victtorino.cl/producto/receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-80x120-izq/,True,4,precio_ok(81396) | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar) | stock_bajo(2)
020103001-T,Lavacopas Bajo Cubierta 44 x 39 cm,lavacopas-bajo-cubierta-44-x-39-cm,73891,0,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Lavacopas-Bajo-Cubierta-44-x-39-cm-1.webp,https://victtorino.cl/producto/lavacopas-bajo-cubierta-44-x-39-cm/,False,4,BLOQUEADO_STOCK_0 | precio_ok(73891) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(0)
100501029-T,Receptor de Ducha Cuadrado Antideslizante Acrílico Blanco 90x90,receptor-de-ducha-cuadrado-antideslizante-acrilico-blanco-90-x-90,67829,0,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/04/Base-Cuadrada-2.webp,https://victtorino.cl/producto/receptor-de-ducha-cuadrado-antideslizante-acrilico-blanco-90-x-90/,False,4,BLOQUEADO_STOCK_0 | precio_ok(67829) | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar) | stock_bajo(0)
020101015-T,Pack Lavaplatos 80x44 Secador Derecho + Llave Monomando Inox,pack-lavaplatos-80x44-secador-derecho-llave-monomando-inox,64460,5,Lavaplatos,,https://victtorino.cl/producto/pack-lavaplatos-80x44-secador-derecho-llave-monomando-inox/,True,4,precio_ok(64460) | stock_ok(5) | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | sin_foto
100501025-T,Receptor de Ducha Esquinero Curvo Antideslizante Acrílico Blanco 80x80,receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-80x80,54264,4,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/04/Base-1.webp,https://victtorino.cl/producto/receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-80x80/,True,4,precio_ok(54264) | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar) | stock_bajo(4)
010703007-T,Espejo Rectangular 60 x 90 cm Con Borde Azul Y Líneas Celestes,espejo-rectangular-60-x-90-cm-con-borde-azul-y-lineas-celestes,53406,2,Espejos,https://victtorino.cl/wp-content/uploads/2026/03/espejo-rectangular-60x90-borde-azul-lineas-celestes-chile-01.webp,https://victtorino.cl/producto/espejo-rectangular-60-x-90-cm-con-borde-azul-y-lineas-celestes/,True,4,precio_ok(53406) | foto_ok | cat_aspiracional(Espejos) | margen_estimado(47%_revisar) | stock_bajo(2)
010603003-T,Receptáculo Ducha 70x70 CM,receptaculo-ducha-70x70-cm,46373,0,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/03/RECEPTACULO-DUCHA-70X70-CM-1.webp,https://victtorino.cl/producto/receptaculo-ducha-70x70-cm/,False,4,BLOQUEADO_STOCK_0 | precio_ok(46373) | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar) | stock_bajo(0)
010703014-T,Espejo Circular 60 cm Led Triple  Borde Metal,espejo-circular-60-cm-led-triple-borde-metal,44965,3,Espejos,https://victtorino.cl/wp-content/uploads/2026/03/espejo-circ-60-cm-led-triple-bord-metal-victtorino-chile.webp,https://victtorino.cl/producto/espejo-circular-60-cm-led-triple-borde-metal/,True,4,precio_ok(44965) | foto_ok | cat_aspiracional(Espejos) | margen_estimado(47%_revisar) | stock_bajo(3)
010704016-T,Monomando Tina Ducha Notte,monomando-tina-ducha-notte,40024,2,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/monomando-tina-ducha-notte-victtorino-chile-01.webp,https://victtorino.cl/producto/monomando-tina-ducha-notte/,True,4,precio_ok(40024) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(2)
040202002-T,Llave Monomando Lavamanos Alto Notte Negro,llave-monomando-lavamanos-alto-notte-negro,39574,1,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-ducha-modern-inoxidable-victtorino-chile-01.webp,https://victtorino.cl/producto/llave-monomando-lavamanos-alto-notte-negro/,True,4,precio_ok(39574) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(1)
010201001-T,Lavamanos Cristal Sobrepuesto 415 x 415 mm,lavamanos-cristal-sobrepuesto-415-x-415-mm,38307,1,Lavamanos,https://victtorino.cl/wp-content/uploads/2026/03/lavamano-cristal-sobrepuesto-415x415-victtorino-chile-01.webp,https://victtorino.cl/producto/lavamanos-cristal-sobrepuesto-415-x-415-mm/,True,4,precio_ok(38307) | foto_ok | cat_aspiracional(Lavamanos) | margen_estimado(47%_revisar) | stock_bajo(1)
040202003-T,Monomando lavamano alto inoxidable,monomando-lavamano-alto-inoxidable,35216,3,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-lavatorio-alto-modern-paleta-inox-victtorino-chile.webp,https://victtorino.cl/producto/monomando-lavamano-alto-inoxidable/,True,4,precio_ok(35216) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(3)
020101009-T,Lavaplatos Sobrepuesto 100 x 50 cm Secador Izquierdo,lavaplatos-sobrepuesto-100-x-50-cm-secador-izquierdo,34351,0,Lavaplatos,https://victtorino.cl/wp-content/uploads/2026/03/lavaplatos-sobreponer-100x50cm-secador-izquierdo-victtorino-chile.webp,https://victtorino.cl/producto/lavaplatos-sobrepuesto-100-x-50-cm-secador-izquierdo/,False,4,BLOQUEADO_STOCK_0 | precio_ok(34351) | foto_ok | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(0)
010704017-T,Monomando Ducha Notte Taumm,monomando-ducha-notte-taumm,34109,1,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/monomando-ducha-notte-victtorino-chile.webp,https://victtorino.cl/producto/monomando-ducha-notte-taumm/,True,4,precio_ok(34109) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(1)
040203005-T,Llave Monomando Ducha Empotrada Dusseldorf,llave-monomando-ducha-empotrada-dusseldorf,30764,3,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-ducha-empotrada-dusseldorf-victtorino-chile.webp,https://victtorino.cl/producto/llave-monomando-ducha-empotrada-dusseldorf/,True,4,precio_ok(30764) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(3)
040202008-T,Llave Monomando Lavamanos Modern Pituto Cromado,llave-monomando-lavamanos-modern-pituto-cromado,30707,3,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-lavatorio-modern-pituto-cromado-victtorino-chile.webp,https://victtorino.cl/producto/llave-monomando-lavamanos-modern-pituto-cromado/,True,4,precio_ok(30707) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(3)
020101004-T,Lavaplatos Empotrado 80x44 cm Secador Izquierdo,lavaplatos-empotrado-80x44-cm-secador-izquierdo,30170,3,Lavaplatos,https://victtorino.cl/wp-content/uploads/2026/03/Lavaplatos-Empotrado-80×44-cm-Secador-Izquierdo-1.webp,https://victtorino.cl/producto/lavaplatos-empotrado-80x44-cm-secador-izquierdo/,True,4,precio_ok(30170) | foto_ok | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(3)
040202001-T,Llave Monomando Lavamanos Notte Negro,llave-monomando-lavamanos-notte-negro,30151,4,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-monomando-lavatorio-notte-negro-victtorino-chile.webp,https://victtorino.cl/producto/llave-monomando-lavamanos-notte-negro/,True,4,precio_ok(30151) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(4)
040203004-T,Llave Monomando de Ducha Domenica,llave-monomando-de-ducha-domenica,27177,0,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Llave-Monomando-de-Ducha-Domenica-1.webp,https://victtorino.cl/producto/llave-monomando-de-ducha-domenica/,False,4,BLOQUEADO_STOCK_0 | precio_ok(27177) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(0)
040101001-T,Llave Combinación Lavaplatos Antonella,llave-combinacion-lavaplatos-antonella,26391,0,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-combinacion-lavaplatos-antonella-victtorino-chile.webp,https://victtorino.cl/producto/llave-combinacion-lavaplatos-antonella/,False,4,BLOQUEADO_STOCK_0 | precio_ok(26391) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(0)
040203001-T,Llave Monomando Ducha al Muro Notte Negro,llave-monomando-ducha-al-muro-notte-negro,25767,1,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Llave-Monomando-Ducha-al-Muro-Notte-Negro-1.webp,https://victtorino.cl/producto/llave-monomando-ducha-al-muro-notte-negro/,True,4,precio_ok(25767) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(1)
010704015-T,Set Accesorios De Baños Notte (6 Piezas),set-accesorios-de-banos-notte-6-piezas,25400,9,Accesorios,https://victtorino.cl/wp-content/uploads/2026/03/set-accesorios-de-banos-notte-6-piezas-victtorino-chile.webp,https://victtorino.cl/producto/set-accesorios-de-banos-notte-6-piezas/,True,4,precio_ok(25400) | stock_ok(9) | foto_ok | margen_estimado(35%_revisar) | cat_no_aspiracional(Accesorios)
040501002-T,Cuello Cisne Lavaplatos Con Tuerca Hilo 12,cuello-cisne-lavaplatos-con-tuerca-hilo-12,25145,4,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Cuello-Cisne-Lavaplatos-Con-Tuerca-Hilo-12-1.webp,https://victtorino.cl/producto/cuello-cisne-lavaplatos-con-tuerca-hilo-12/,True,4,precio_ok(25145) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(4)
010703004-T,Espejo Rectangular 50 x 70 cm Con Luz Led,espejo-rectangular-50-x-70-cm-con-luz-led,23582,4,Espejos,https://victtorino.cl/wp-content/uploads/2026/03/espejo-rectangular-50x70-luz-led-victtorino-chile-01.webp,https://victtorino.cl/producto/espejo-rectangular-50-x-70-cm-con-luz-led/,True,4,precio_ok(23582) | foto_ok | cat_aspiracional(Espejos) | margen_estimado(47%_revisar) | stock_bajo(4)
040203007-T,Llave Monomando de Ducha Colomba,llave-monomando-de-ducha-colomba,22248,0,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Llave-Monomando-Ducha-Colomba-1.png,https://victtorino.cl/producto/llave-monomando-de-ducha-colomba/,False,4,BLOQUEADO_STOCK_0 | precio_ok(22248) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(0)
020301002-T,Llave Lavadero Lavadora Doble 3/4,llave-lavadero-lavadora-doble-3-4,20725,3,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/llave-lavadero-lavadora-doble-3-4-victtorino-chile.webp,https://victtorino.cl/producto/llave-lavadero-lavadora-doble-3-4/,True,4,precio_ok(20725) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | stock_bajo(3)
040201006-T,Llave Monomando Lavaplatos Vertical Colomba,llave-monomando-lavaplatos-vertical-colomba,16007,19,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Llave-Monomando-Lavaplatos-Vertical-Colomba-1.webp,https://victtorino.cl/producto/llave-monomando-lavaplatos-vertical-colomba/,True,4,stock_ok(19) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar) | precio_fuera_rango(16007)
020101002-C,Lavaplatos empotrado de 37x32 chocolate,lavaplatos-empotrado-de-37x32-chocolate,13565,65,Lavaplatos,https://victtorino.cl/wp-content/uploads/2026/03/lavaplatos-chocolate-nuevo.webp,https://victtorino.cl/producto/lavaplatos-empotrado-de-37x32-chocolate/,True,4,stock_ok(65) | foto_ok | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | precio_fuera_rango(13565)
010502005-T,Mampara Ducha 120-140 x 190,mampara-ducha-120-140-x-190,229476,2,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/03/Mampara-Ducha-120-140-x-190-1.webp,https://victtorino.cl/producto/mampara-ducha-120-140-x-190/,True,3,foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar) | precio_fuera_rango(229476) | stock_bajo(2)
010603001-T,Receptaculo Ducha con Patas 120x70 cm,receptaculo-ducha-con-patas-120x70-cm,210691,0,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/03/Receptaculo.webp,https://victtorino.cl/producto/receptaculo-ducha-con-patas-120x70-cm/,False,3,BLOQUEADO_STOCK_0 | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar) | precio_fuera_rango(210691) | stock_bajo(0)
020102008-W,WC Victtorino – Diseño Compacto y Eficiente,wc-victtorino-diseno-compacto-y-eficiente,135660,1,Accesorios,https://victtorino.cl/wp-content/uploads/2026/03/wc-victtorino-diseno-compacto-eficiente-01.webp,https://victtorino.cl/producto/wc-victtorino-diseno-compacto-y-eficiente/,True,3,precio_ok(135660) | foto_ok | margen_estimado(35%_revisar) | stock_bajo(1) | cat_no_aspiracional(Accesorios)
040303004-T,Fluxómetro De Palanca Con Llave De Corte S,fluxometro-de-palanca-con-llave-de-corte-s,109895,3,Accesorios,https://victtorino.cl/wp-content/uploads/2026/03/fluxometro-palanca-con-valvula-corte-s-victtorino-chile.webp,https://victtorino.cl/producto/fluxometro-de-palanca-con-llave-de-corte-s/,True,3,precio_ok(109895) | foto_ok | margen_estimado(35%_revisar) | stock_bajo(3) | cat_no_aspiracional(Accesorios)
040303003-T,Fluxómetro con Palanca de 1,fluxometro-con-palanca-de-1,105008,4,Accesorios,https://victtorino.cl/wp-content/uploads/2026/03/Fluxometro-con-Palanca-de-1-1.webp,https://victtorino.cl/producto/fluxometro-con-palanca-de-1/,True,3,precio_ok(105008) | foto_ok | margen_estimado(35%_revisar) | stock_bajo(4) | cat_no_aspiracional(Accesorios)
020101014-T,Lavaplatos Para Sobreponer 180x50 Cm 2 Bachas 2 Secadores,lavaplatos-para-sobreponer-180x50-cm-2-bachas-2-secadores,104465,0,Lavaplatos,,https://victtorino.cl/producto/lavaplatos-para-sobreponer-180x50-cm-2-bachas-2-secadores/,False,3,BLOQUEADO_STOCK_0 | precio_ok(104465) | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(0) | sin_foto
020101005-T,LAVAPLATOS SIMPLE EMPOTRADO 686X456 MM HAMBURG,lavaplatos-simple-empotrado-686x456-mm-hamburg,101006,3,Lavaplatos,,https://victtorino.cl/producto/lavaplatos-simple-empotrado-686x456-mm-hamburg/,True,3,precio_ok(101006) | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(3) | sin_foto
020101013-T,Lavaplatos Para Sobreponer 150x50x16 Cm 2 Bachas 2 Secadores,lavaplatos-para-sobreponer-150x50x16-cm-2-bachas-2-secadores,98100,4,Lavaplatos,,https://victtorino.cl/producto/lavaplatos-para-sobreponer-150x50x16-cm-2-bachas-2-secadores/,True,3,precio_ok(98100) | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(4) | sin_foto
020101018-T,Pack Lavaplatos 100x44 Secador Izquierdo + Llave Monomando Inox,pack-lavaplatos-100x44-secador-izquierdo-llave-monomando-inox,67699,1,Lavaplatos,,https://victtorino.cl/producto/pack-lavaplatos-100x44-secador-izquierdo-llave-monomando-inox/,True,3,precio_ok(67699) | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(1) | sin_foto
020101017-T,Pack Lavaplatos 100x44 Secador Derecho + Llave Monomando Inox,pack-lavaplatos-100x44-secador-derecho-llave-monomando-inox,67699,3,Lavaplatos,,https://victtorino.cl/producto/pack-lavaplatos-100x44-secador-derecho-llave-monomando-inox/,True,3,precio_ok(67699) | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(3) | sin_foto
020101016-T,Pack Lavaplatos 80x44 Secador Izquierdo + Llave Monomando Inox,pack-lavaplatos-80x44-secador-izquierdo-llave-monomando-inox,64460,3,Lavaplatos,,https://victtorino.cl/producto/pack-lavaplatos-80x44-secador-izquierdo-llave-monomando-inox/,True,3,precio_ok(64460) | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar) | stock_bajo(3) | sin_foto
010102002-T,Barra Abatible para Wc 78 cm,barra-abatible-para-wc-78-cm,61120,0,Accesorios,https://victtorino.cl/wp-content/uploads/2026/03/barra-abatible-wc-victtorino-chile-3.webp,https://victtorino.cl/producto/barra-abatible-para-wc-78-cm/,False,3,BLOQUEADO_STOCK_0 | precio_ok(61120) | foto_ok | margen_estimado(35%_revisar) | stock_bajo(0) | cat_no_aspiracional(Accesorios)
010102008-T,Barra De Seguridad De Acero Inoxidable Con 3 Puntos De Apoyo 90° Para Muro,barra-de-seguridad-de-acero-inoxidable-con-3-puntos-de-apoyo-90-para-muro,40022,1,Accesorios,https://victtorino.cl/wp-content/uploads/2026/03/barra-seguridad-acero-inoxidable-3-puntos-90-grados-chile-01.webp,https://victtorino.cl/producto/barra-de-seguridad-de-acero-inoxidable-con-3-puntos-de-apoyo-90-para-muro/,True,3,precio_ok(40022) | foto_ok | margen_estimado(35%_revisar) | stock_bajo(1) | cat_no_aspiracional(Accesorios)
010102007-T,Barra 3 Apoyos 90 Esquinera,barra-3-apoyos-90-esquinera,36977,3,Accesorios,https://victtorino.cl/wp-content/uploads/2026/03/Barra-3-Apoyos-90-Esquinera-1.webp,https://victtorino.cl/producto/barra-3-apoyos-90-esquinera/,True,3,precio_ok(36977) | foto_ok | margen_estimado(35%_revisar) | stock_bajo(3) | cat_no_aspiracional(Accesorios)
